# id,cle MSI_*  --  extrait de g_MsgStringSymbolNames (0x0104F0A8) de l'exe VANILLA 20250716.
# 4355 entrees (0..4354). C'est CETTE table qui donne l'id d'une cle, PAS le numero
# de ligne de data\msgstringtable.csv : le csv livre a 4360 lignes et diverge des l'id 4075.
# Genere par tools/lang/gen_msgstring.py --ids (dump IDA).
360,MSI_OPEN_1ON1_WINDOW
361,MSI_AUTOOPEN_1ON1_WINDOW
362,MSI_WHISPER_OPEN_SOUND
363,MSI_DO_YOU_REALLY_WANT_EXPEL
364,MSI_USER_LEFT_GUILD
365,MSI_REASON_LEAVE_GUILD
366,MSI_DISORGANIZE_GUILD_FAILURE
367,MSI_DISORGANIZATION_REASON
368,MSI_DELETED_ACCOUNT
369,MSI_SELLPRICE
370,MSI_BAN_GUILD
371,MSI_REASON_BAN_GUILD
372,MSI_CAN_NOT_EQUIP_ITEM
373,MSI_PARTYSETTING_CHANGE_IMPOSSIBLE
374,MSI_GUILD_MAKE_SUCCESS
375,MSI_GUILD_MAKE_ALREADY_MEMBER
376,MSI_GUILD_MAKE_GUILD_EXIST
377,MSI_SUGGEST_JOIN_GUILD
378,MSI_CHARACTER_IS_ALREADY_IN_GUILD
379,MSI_CHARACTER_REJECT_JOIN_GUILD
380,MSI_CHARACTER_ACCEPT_JOIN_GUILD
381,MSI_TOO_MANY_PEOPLE_IN_GUILD
382,MSI_REQ_JOIN_GUILD
383,MSI_NOT_ENOUGH_FOR_MANNER_POINT
384,MSI_GIVING_MANNER_POINT_SUCCESS
385,MSI_YOU_USE_TODAY_ALREADY
386,MSI_ONE_MONTH_NOT_PASSED
387,MSI_RECEIVE_PLUS_MANNER_POINT
388,MSI_RECEIVE_MINUS_MANNER_POINT
389,MSI_GIVE_PLUS_MANNER_POINT
390,MSI_GIVE_MINUS_MANNER_POINT
391,MSI_REQ_DEAL_WITH2
392,MSI_REQ_JOIN_PARTY2
393,MSI_SUGGEST_ALLY_GUILD
394,MSI_REQALLYGUILD_ALREADY_ALLIED
395,MSI_REQALLYGUILD_REJECT
396,MSI_REQALLYGUILD_ACCEPT
397,MSI_REQALLYGUILD_OVERSIZE
398,MSI_REQALLYMYGUILD_OVERSIZE
399,MSI_REQ_ALLY_GUILD
400,MSI_DISORGANIZE_GUILD_SUCCESS
401,MSI_DISORGANIZE_GUILD_INVALIDKEY
402,MSI_DISORGANIZE_GUILD_MEMBEREXIST
403,MSI_REQ_HOSTILE_GUILD
404,MSI_SELECT_HAIR_COLOR
405,MSI_GUILD_MAKE_GUILD_NONE_ITEM
406,MSI_MONSTER_INFO_WINDOW
407,MSI_NAME
408,MSI_LEVEL
409,MSI_HP
410,MSI_SIZE
411,MSI_RACETYPE
412,MSI_MDEFPOWER
413,MSI_PROPERTY
414,MSI_PROPERTY_NEUTURAL
415,MSI_PROPERTY_WATER
416,MSI_PROPERTY_EARTH
417,MSI_PROPERTY_FIRE
418,MSI_PROPERTY_WIND
419,MSI_PROPERTY_POISON
420,MSI_PROPERTY_SAINT
421,MSI_PROPERTY_DARK
422,MSI_PROPERTY_MENTAL
423,MSI_PROPERTY_UNDEAD
424,MSI_CANT_MAKE_ITEM
425,MSI_MAKE_LIST
426,MSI_MAKE_TARGET
427,MSI_REQUIRE_FOR_MAKE_TARGET
428,MSI_MAKE_TARGET_FAIL
429,MSI_MAKE_TARGET_SUCCEESS
430,MSI_MAKE_TARGET_FAIL_MSG
431,MSI_MAKE_TARGET_SUCCEESS_MSG
432,MSI_NOT_ENOUGH_LEVEL
433,MSI_TOO_HIGH_LEVEL
434,MSI_NOT_ACCEPTABLE_JOB
435,MSI_TALKBOX_WINDOW
436,MSI_TALKBOX_WINDOW_MSG
437,MSI_SEND_TO_GUILD
438,MSI_NOT_SETTLED
439,MSI_ACCOUNT_BUSY
440,MSI_INFORMATION_REMAINED
441,MSI_BIRDOFF
442,MSI_CHIKENOFF
443,MSI_SIZE_SMALL
444,MSI_SIZE_MIDDLE
445,MSI_SIZE_BIG
446,MSI_DOUBLE
447,MSI_TRIPLE
448,MSI_QUADROPLE
